neighborhood,sqft,bedrooms,bathrooms,lot_size_sqft,year_built,stories,garage_spaces,has_basement,has_porch,renovated_last_10yrs,fireplace,condition_score,distance_to_downtown_km,crime_index,school_rating,walk_score,property_tax_annual,vacant_lot_nearby,sale_price
Lafayette Park,1563.0,2,2.5,4705.0,1929,2.0,1.0,1,1,0,0,,19.59,25.8,5.9,34.1,2414.0,0,154811.0
West Village,991.0,3,2.0,1871.0,1950,1.0,1.0,0,0,1,0,6.6,14.41,43.1,8.2,39.6,1570.0,1,172144.0
Warrendale,1305.0,3,1.0,6144.0,1970,2.0,0.0,1,1,0,0,3.9,6.53,82.4,2.7,55.2,1423.0,1,12000.0
Corktown,1707.0,3,2.5,6564.0,1930,2.0,1.0,1,1,0,0,3.0,6.31,48.0,6.4,52.8,2337.0,0,338324.0
Palmer Woods,1671.0,3,1.5,5979.0,1950,2.0,0.0,1,0,1,1,5.0,8.65,35.2,7.6,42.6,1316.0,0,362544.0
Bagley,1416.0,2,3.0,2907.0,1961,2.0,0.0,1,1,0,0,4.7,19.56,53.7,5.8,41.5,2354.0,0,56495.0
University District,1021.0,3,1.0,3139.0,1949,2.0,1.0,1,1,0,0,4.8,11.94,72.1,6.0,62.4,2246.0,0,106008.0
Lafayette Park,1632.0,3,1.5,5671.0,1983,1.0,1.0,1,1,0,0,5.1,4.71,24.7,7.4,64.0,814.0,0,203832.0
Jefferson-Chalmers,1892.0,2,1.0,5711.0,1961,1.0,0.0,1,1,1,1,4.1,3.26,54.6,6.3,38.0,1217.0,0,114903.0
Brightmoor,1297.0,2,1.0,3572.0,1949,2.0,1.0,1,1,0,0,3.8,11.63,100.0,4.0,43.7,531.0,0,12000.0
Russell Woods,1479.0,4,1.5,6793.0,1951,1.0,0.0,1,1,0,1,6.3,10.24,76.4,4.4,55.6,2197.0,0,30077.0
Midtown,1870.0,4,1.0,4219.0,1939,1.0,2.0,1,1,0,0,4.7,6.77,70.5,5.9,31.1,2491.0,0,179594.0
Midtown,1960.0,4,1.5,7217.0,1928,1.0,1.0,1,1,0,1,4.9,13.54,34.2,6.2,46.9,2064.0,0,192890.0
Warrendale,1376.0,3,1.0,7183.0,1931,1.0,1.0,1,1,0,0,4.7,7.64,73.3,4.4,24.9,1779.0,1,12000.0
Morningside,480.0,3,2.0,6048.0,1939,1.0,2.0,1,1,0,1,7.7,8.7,75.7,5.6,49.4,1646.0,0,12000.0
Russell Woods,1430.0,4,1.0,6695.0,1978,1.5,1.0,1,0,0,1,5.0,10.89,79.6,5.7,23.9,2770.0,0,12000.0
Midtown,1177.0,4,2.5,3951.0,1941,2.0,2.0,1,0,1,0,5.2,5.88,62.3,7.7,46.9,1622.0,0,211183.0
University District,1561.0,6,1.0,5884.0,1925,1.0,2.0,1,0,0,0,3.3,10.25,54.8,7.3,49.8,1783.0,0,137343.0
Cody Rouge,2116.0,3,1.0,4971.0,1930,1.0,1.0,1,1,0,0,2.5,12.31,88.4,2.5,42.0,2309.0,0,12000.0
Boston-Edison,1475.0,4,1.0,2590.0,1940,1.0,1.0,1,1,0,0,4.2,4.29,46.4,6.8,66.8,1071.0,0,236429.0
Russell Woods,1302.0,4,1.0,6234.0,1986,1.5,1.0,1,0,0,1,4.6,7.02,81.4,4.2,49.7,1461.0,1,12000.0
West Village,1529.0,4,2.0,6319.0,1958,2.0,2.0,1,1,0,1,3.9,7.51,74.1,7.7,55.3,2302.0,0,257684.0
East English Village,1696.0,3,2.5,4707.0,1969,1.0,1.0,1,1,1,0,5.5,5.24,63.4,2.3,62.0,2266.0,0,117001.0
West Village,1128.0,2,1.5,4126.0,1952,2.0,1.0,1,1,0,0,3.7,15.62,53.6,6.3,53.9,2582.0,0,136291.0
Boston-Edison,1610.0,4,1.5,5148.0,1965,1.0,1.0,0,1,0,1,6.3,14.41,51.5,6.7,36.8,2844.0,0,157211.0
Jefferson-Chalmers,1516.0,3,1.0,2765.0,1949,1.5,1.0,1,1,1,0,4.7,13.58,55.8,7.0,69.3,1540.0,0,78541.0
Chadsey-Condon,1485.0,2,1.5,2951.0,1945,2.0,0.0,1,1,1,1,3.4,8.61,100.0,2.3,43.1,1286.0,0,12000.0
Lafayette Park,1273.0,3,1.0,8628.0,1952,1.0,1.0,0,1,0,0,5.6,12.15,93.3,6.5,27.3,1344.0,0,103067.0
Russell Woods,1368.0,2,1.0,4881.0,1891,2.0,0.0,1,0,0,1,7.2,2.85,55.4,2.8,65.9,720.0,0,12000.0
Grandmont-Rosedale,1521.0,3,2.0,3064.0,1954,1.0,0.0,1,0,0,0,6.3,9.56,56.2,5.9,51.0,1559.0,0,52755.0
Boston-Edison,1474.0,4,1.0,3375.0,1987,1.5,1.0,1,1,1,0,7.0,8.33,54.7,4.1,69.2,2074.0,0,266691.0
East English Village,1675.0,2,2.0,5449.0,1890,2.0,0.0,1,0,0,0,4.8,11.26,77.5,3.5,27.6,1745.0,1,12000.0
Lafayette Park,1287.0,3,1.0,7072.0,1955,1.0,1.0,0,1,0,0,5.7,10.42,56.2,6.0,59.7,2662.0,0,117739.0
Bagley,1297.0,1,1.0,6862.0,1962,1.5,1.0,1,1,1,0,5.2,10.46,52.3,6.6,54.0,1290.0,0,97042.0
East English Village,1417.0,3,1.0,5336.0,1940,1.0,1.0,1,0,0,1,5.9,9.16,88.4,5.7,44.7,3108.0,0,25286.0
East English Village,1465.0,3,1.0,1200.0,1961,1.0,0.0,1,1,0,0,6.9,6.82,99.3,2.9,55.7,2042.0,0,12000.0
Sherwood Forest,880.0,3,1.5,2987.0,1954,2.0,1.0,0,0,1,0,6.3,10.93,65.7,5.6,52.7,2615.0,0,100298.0
Sherwood Forest,871.0,2,1.0,3186.0,1918,1.5,1.0,1,1,0,0,2.8,10.38,65.4,4.7,42.1,2013.0,0,12000.0
Brightmoor,1566.0,4,1.5,8999.0,1931,1.0,2.0,1,1,1,1,6.0,1.8,100.0,3.7,75.2,1848.0,0,71459.0
Sherwood Forest,1157.0,1,1.5,3431.0,1964,1.5,2.0,1,1,0,0,3.1,13.09,53.2,4.3,60.4,2324.0,0,71827.0
Brightmoor,1943.0,4,2.0,5206.0,1977,2.0,0.0,1,1,1,0,3.6,7.22,61.9,2.7,40.9,2658.0,0,41746.0
Cody Rouge,1240.0,2,2.0,3909.0,1938,2.0,1.0,1,1,0,1,2.4,1.31,52.1,4.4,57.1,1469.0,0,12000.0
University District,2158.0,2,1.5,1332.0,1941,1.0,1.0,1,0,0,0,4.0,7.54,47.0,6.4,47.6,1992.0,0,161872.0
Warrendale,1546.0,3,1.5,7119.0,1963,2.5,2.0,0,1,0,1,3.6,11.41,79.8,5.5,47.1,1844.0,0,19129.0
Lafayette Park,1518.0,3,2.5,6712.0,1970,1.0,1.0,0,1,1,1,5.4,3.37,48.9,7.9,51.9,2237.0,0,279728.0
Warrendale,1261.0,4,1.5,6701.0,1978,2.0,2.0,1,1,1,0,4.3,19.71,54.9,3.0,32.9,1915.0,0,12000.0
Greenfield,1330.0,3,2.5,7922.0,1954,1.0,1.0,1,1,0,1,2.8,8.11,66.9,2.5,29.0,3182.0,0,12000.0
Indian Village,1205.0,4,1.0,1200.0,1953,2.0,2.0,1,0,0,1,7.6,13.05,52.7,6.9,54.4,3139.0,0,280623.0
Indian Village,480.0,3,2.0,4708.0,1960,2.0,1.0,1,1,1,0,5.4,9.52,48.8,6.4,43.6,1937.0,0,168244.0
Corktown,1263.0,3,2.5,1200.0,1956,2.0,0.0,1,1,0,1,6.2,8.45,16.0,4.6,51.3,2559.0,0,229118.0
Russell Woods,2002.0,4,2.0,5466.0,1943,2.0,2.0,1,1,0,1,3.7,5.05,82.3,4.6,79.2,2139.0,0,91493.0
Jefferson-Chalmers,2001.0,4,2.5,6373.0,1891,1.5,1.0,1,1,0,0,6.1,7.07,70.9,5.0,45.3,955.0,0,96440.0
Corktown,1113.0,4,2.0,5308.0,1938,1.0,0.0,1,0,0,1,6.4,12.92,41.8,7.6,52.0,2105.0,0,222211.0
Chadsey-Condon,1998.0,3,1.5,4884.0,1952,1.0,1.0,1,1,0,1,2.2,14.69,79.9,3.3,40.3,1593.0,1,12000.0
Russell Woods,480.0,3,2.5,1217.0,1943,2.0,1.0,1,1,0,0,4.4,0.5,75.1,3.1,53.6,1546.0,0,12000.0
Morningside,1821.0,2,2.0,7169.0,1933,1.0,0.0,1,1,0,0,6.0,12.44,72.9,5.3,53.7,2752.0,0,42317.0
Lafayette Park,1327.0,3,1.0,2638.0,1953,2.0,1.0,0,1,0,0,9.3,7.82,44.6,5.7,51.3,1753.0,0,163208.0
Warrendale,1480.0,3,1.5,2605.0,1944,2.0,1.0,1,1,0,1,6.3,6.76,99.8,5.2,46.2,1356.0,1,12000.0
Lafayette Park,1182.0,2,2.5,3252.0,1936,1.0,1.0,1,1,1,0,6.1,9.85,22.5,7.8,56.7,1934.0,0,179918.0
Chadsey-Condon,1486.0,3,2.0,4177.0,1963,2.0,1.0,0,1,0,0,3.9,13.78,83.1,4.1,36.6,2131.0,0,12000.0
Chadsey-Condon,1094.0,2,1.5,4671.0,1946,1.0,0.0,1,1,0,0,5.2,10.11,79.3,3.3,38.8,1952.0,0,12000.0
Sherwood Forest,2094.0,3,1.0,3960.0,1961,1.5,1.0,0,0,0,0,4.0,16.12,76.6,7.8,47.6,1917.0,0,150499.0
Greenfield,1142.0,3,2.0,5880.0,1919,1.0,2.0,1,0,1,0,5.3,6.66,42.1,2.9,54.0,3193.0,0,12000.0
Bagley,1039.0,1,1.5,3191.0,1961,1.5,1.0,1,0,0,0,5.0,5.66,66.7,4.3,67.8,2521.0,0,12000.0
Jefferson-Chalmers,823.0,3,2.0,4821.0,1919,1.5,0.0,0,1,1,1,6.0,6.65,91.5,3.4,49.3,1023.0,0,12000.0
Grandmont-Rosedale,1902.0,3,2.5,4150.0,1938,1.0,1.0,1,0,0,0,6.8,9.52,75.5,3.6,33.0,1795.0,0,110099.0
Greenfield,1200.0,1,1.5,3374.0,1940,2.0,0.0,1,1,0,0,3.6,14.56,85.8,5.7,54.6,3505.0,0,12000.0
Midtown,1328.0,1,1.5,3651.0,1949,1.0,0.0,1,1,0,0,5.9,10.23,76.0,6.8,53.3,2895.0,0,139303.0
Boston-Edison,1324.0,3,2.0,5893.0,1974,1.0,0.0,1,1,0,0,7.5,0.88,17.1,6.5,68.4,2049.0,1,286377.0
Palmer Woods,1430.0,4,2.0,6747.0,1932,2.0,0.0,1,0,0,0,4.7,0.78,45.0,8.7,43.5,2313.0,0,310881.0
Midtown,633.0,3,1.5,6114.0,1959,1.0,1.0,1,0,0,0,,11.17,42.7,,,2413.0,0,110175.0
Indian Village,1434.0,4,1.0,6941.0,1951,2.0,1.0,1,1,0,1,6.2,12.8,29.5,7.6,36.1,1613.0,0,271321.0
Indian Village,2072.0,2,1.5,2428.0,1936,1.0,1.0,1,0,0,0,5.6,12.96,49.7,8.3,19.4,1307.0,0,305136.0
Greenfield,1179.0,3,1.5,4032.0,1935,1.0,1.0,1,0,0,1,3.2,13.41,90.1,1.2,45.8,2168.0,0,12000.0
Greenfield,1309.0,4,2.5,4640.0,1938,1.5,2.0,1,1,0,0,5.1,16.01,84.3,5.3,52.4,1660.0,1,12000.0
Greenfield,1333.0,4,1.5,5582.0,1944,1.0,0.0,1,1,1,0,3.3,4.02,73.3,4.9,52.8,1219.0,0,19166.0
Midtown,1294.0,1,1.0,3952.0,1981,1.0,1.0,1,1,0,1,5.2,4.08,64.7,7.8,45.0,453.0,0,126248.0
Grandmont-Rosedale,2452.0,4,1.5,3088.0,1959,1.0,2.0,1,1,0,0,7.0,11.94,64.3,5.1,45.0,1231.0,0,178717.0
Grandmont-Rosedale,1683.0,2,1.5,5417.0,1932,1.5,0.0,1,1,0,0,7.0,3.86,66.9,4.4,64.1,2251.0,0,86216.0
Cody Rouge,1062.0,4,1.0,5144.0,1988,1.0,0.0,0,1,0,0,4.6,17.59,98.7,3.9,51.1,2865.0,0,12000.0
University District,715.0,3,2.0,4665.0,1935,2.0,0.0,1,1,0,0,7.0,18.7,55.2,7.2,52.9,1153.0,0,61669.0
West Village,2287.0,3,1.5,2990.0,1928,2.0,0.0,1,1,1,1,6.2,10.04,28.5,6.8,42.5,2302.0,0,319451.0
University District,2211.0,2,1.0,4710.0,1937,1.5,1.0,1,0,1,1,5.2,6.4,30.2,6.3,48.9,1348.0,0,262993.0
Morningside,1508.0,2,1.5,3731.0,1997,2.0,0.0,1,1,0,0,4.7,10.66,55.7,4.7,54.1,2147.0,0,12000.0
Russell Woods,1454.0,3,1.0,5310.0,1931,1.5,0.0,1,1,0,1,,9.68,45.8,,46.5,2342.0,1,12000.0
Morningside,1994.0,4,2.0,7040.0,1981,1.0,1.0,1,0,1,0,1.8,3.64,69.3,6.4,50.3,3166.0,0,83836.0
Greenfield,1416.0,4,1.5,5448.0,1965,2.0,1.0,0,1,0,1,3.7,8.83,83.8,3.7,13.7,1679.0,0,12000.0
Palmer Woods,1322.0,3,1.5,4696.0,1933,1.0,1.0,1,1,1,0,4.6,2.68,75.1,5.4,70.3,1941.0,0,329459.0
Russell Woods,1271.0,3,2.5,4932.0,1955,2.0,0.0,1,0,0,0,5.2,8.52,80.8,3.4,42.1,2049.0,0,12000.0
Boston-Edison,1981.0,4,1.5,4950.0,1980,1.5,1.0,1,0,0,1,6.8,8.1,28.5,5.4,69.1,1296.0,0,356369.0
Warrendale,1894.0,3,1.0,5039.0,1981,2.0,0.0,1,1,0,0,3.9,12.91,65.0,2.9,55.1,1712.0,1,12000.0
Boston-Edison,1646.0,3,1.5,1763.0,1951,1.5,0.0,1,1,0,0,2.2,9.31,27.9,8.0,53.2,3079.0,0,229630.0
East English Village,1253.0,3,1.0,6274.0,1914,1.5,2.0,1,1,0,0,3.0,10.32,95.1,4.7,67.5,325.0,0,12000.0
Midtown,2202.0,2,2.0,8827.0,1982,2.0,2.0,1,0,0,0,5.5,2.8,24.6,6.6,56.6,1010.0,0,314455.0
West Village,1169.0,1,2.0,3934.0,1942,1.0,2.0,1,1,0,0,6.4,18.58,34.1,7.1,27.7,1992.0,0,128536.0
Russell Woods,973.0,3,1.0,3801.0,1919,1.0,0.0,1,1,0,0,7.1,9.41,86.7,5.2,47.4,1817.0,1,12000.0
East English Village,1139.0,4,2.5,6679.0,1964,1.5,1.0,1,1,0,0,7.4,3.75,48.3,6.3,49.1,2247.0,0,67986.0
West Village,1287.0,4,2.0,5724.0,1969,2.0,1.0,1,1,0,0,4.1,5.61,82.1,6.8,43.6,1947.0,0,175875.0
Bagley,1242.0,2,2.5,2414.0,1945,1.5,2.0,1,0,0,1,3.9,5.28,69.5,8.0,34.8,2781.0,0,88150.0
Indian Village,762.0,2,1.0,7019.0,1981,2.0,1.0,1,1,0,1,,9.4,52.6,7.0,26.4,1755.0,0,254587.0
Bagley,1770.0,4,1.5,6277.0,1962,2.5,0.0,0,1,1,0,5.3,17.38,65.3,4.5,45.9,3091.0,0,112044.0
University District,1342.0,2,1.0,5116.0,1952,1.0,1.0,1,1,0,0,5.8,12.12,37.5,9.1,52.0,1760.0,0,132699.0
Warrendale,1858.0,2,2.0,5747.0,1957,2.0,0.0,1,1,0,1,7.8,6.05,77.3,3.3,15.2,2721.0,0,51227.0
Corktown,1475.0,4,1.5,5786.0,1908,1.0,1.0,0,1,1,0,4.8,9.38,33.5,5.8,56.5,1940.0,0,316980.0
University District,1043.0,4,1.0,5197.0,1933,1.0,0.0,1,1,0,0,3.3,3.17,73.2,6.6,56.0,1739.0,0,68709.0
Corktown,1590.0,3,2.5,2664.0,1973,1.5,1.0,1,0,0,0,6.3,3.41,69.3,5.8,38.3,2229.0,0,234981.0
Cody Rouge,631.0,3,1.0,1200.0,1941,1.0,2.0,0,0,1,0,5.8,15.1,87.5,3.2,33.1,2823.0,0,12000.0
West Village,1552.0,4,2.5,6230.0,1921,1.5,0.0,1,0,0,0,6.9,6.98,48.9,6.1,66.8,2097.0,0,257324.0
Jefferson-Chalmers,1680.0,3,1.0,5207.0,1964,1.0,,1,1,0,1,,4.49,41.7,,,2241.0,0,89919.0
Grandmont-Rosedale,1807.0,3,2.0,1510.0,1938,2.0,1.0,0,0,0,1,5.5,6.47,79.4,5.2,36.8,1655.0,0,102709.0
Bagley,1267.0,4,1.0,3373.0,1969,1.0,2.0,0,1,1,1,5.5,14.72,42.0,4.5,42.1,2650.0,1,58666.0
Warrendale,1618.0,2,1.5,5659.0,1991,1.0,0.0,0,1,0,0,3.6,4.98,75.3,4.8,45.2,1869.0,1,12000.0
Lafayette Park,1405.0,4,2.0,6618.0,1962,1.0,2.0,0,1,0,0,6.0,7.42,54.9,6.2,51.7,2265.0,0,158552.0
Chadsey-Condon,1224.0,5,1.0,6259.0,1923,2.5,0.0,1,1,0,1,4.9,17.92,85.2,3.0,44.6,959.0,1,12000.0
Palmer Woods,958.0,3,1.5,7155.0,1954,1.0,2.0,1,0,0,0,4.5,7.32,62.5,7.6,54.7,1803.0,0,302510.0
Sherwood Forest,1104.0,2,1.0,7535.0,1979,2.0,0.0,1,1,0,0,5.4,7.39,53.4,5.7,35.3,2341.0,0,79856.0
Corktown,1506.0,5,2.0,6031.0,1933,2.5,1.0,1,1,0,0,5.8,8.08,67.4,6.8,54.0,1562.0,0,297802.0
Chadsey-Condon,2413.0,4,1.5,8101.0,1982,2.0,1.0,1,0,1,1,2.9,12.93,81.9,3.9,39.7,2471.0,0,85054.0
Jefferson-Chalmers,2569.0,3,2.5,6862.0,1907,1.5,2.0,1,1,0,1,,16.14,46.7,,,2681.0,1,149216.0
Lafayette Park,1421.0,2,1.5,2824.0,1925,2.5,2.0,1,1,0,1,4.4,2.89,55.6,6.5,48.7,1572.0,0,150946.0
Warrendale,1641.0,3,2.5,5834.0,1978,2.0,2.0,1,1,1,0,3.3,6.8,90.9,3.9,46.4,1815.0,0,46665.0
Cody Rouge,809.0,4,1.0,7976.0,1927,1.5,2.0,1,1,1,0,3.2,0.5,81.7,3.8,72.7,300.0,0,12000.0
University District,1067.0,3,1.0,7036.0,1932,1.5,0.0,1,1,1,0,5.6,9.54,55.3,5.8,43.9,825.0,0,139245.0
Indian Village,1678.0,3,2.0,4331.0,1960,2.5,,1,1,0,0,,5.67,42.3,,,2547.0,0,428334.0
Midtown,1027.0,4,2.0,3203.0,1953,1.0,1.0,0,1,0,1,6.6,15.8,76.8,7.4,53.8,1083.0,0,92565.0
Indian Village,1317.0,3,2.0,1529.0,1945,2.0,0.0,1,1,0,0,5.2,16.05,39.0,6.1,32.3,1359.0,0,255112.0
Indian Village,1578.0,3,1.0,4935.0,1936,1.5,0.0,1,1,0,1,5.5,0.5,50.7,8.0,38.5,1951.0,0,319330.0
Greenfield,2108.0,4,1.0,5098.0,1986,1.0,1.0,0,1,0,0,4.7,8.79,72.5,6.0,46.9,2596.0,0,67547.0
Chadsey-Condon,1553.0,4,2.0,5535.0,1948,2.0,2.0,0,1,0,1,3.1,8.76,100.0,3.5,48.3,2096.0,0,12000.0
Corktown,1461.0,3,1.5,3534.0,1942,2.0,2.0,1,0,0,1,10.0,9.57,74.3,6.7,44.7,1069.0,0,300981.0
Brightmoor,1982.0,3,2.0,6897.0,1909,2.0,0.0,1,1,0,0,4.2,8.69,92.0,4.1,45.4,2295.0,0,12000.0
Russell Woods,708.0,3,1.5,4382.0,1977,1.0,0.0,1,0,0,0,5.7,8.25,72.6,3.5,37.1,691.0,0,12000.0
Russell Woods,582.0,4,1.5,4934.0,1953,1.0,2.0,1,0,0,1,4.3,17.16,67.6,4.2,38.5,1257.0,0,12000.0
East English Village,1622.0,3,2.0,5097.0,1940,1.0,0.0,0,0,0,1,5.1,3.78,72.6,3.8,74.6,1093.0,1,57809.0
Jefferson-Chalmers,974.0,3,1.5,5344.0,1939,2.0,0.0,1,1,1,0,4.1,10.31,64.7,5.4,57.3,2017.0,0,13471.0
Brightmoor,1117.0,3,2.0,3253.0,1960,1.0,0.0,1,0,0,1,4.7,4.86,79.6,3.6,35.0,2164.0,0,12000.0
Palmer Woods,1186.0,4,2.0,8082.0,1930,2.0,0.0,1,1,1,0,6.1,13.66,47.3,7.9,50.3,2680.0,0,366037.0
Russell Woods,800.0,3,2.0,5574.0,1935,1.0,2.0,1,1,0,0,3.3,20.31,63.3,5.3,62.6,2422.0,1,12000.0
Russell Woods,1659.0,6,1.5,5341.0,1924,1.0,0.0,1,0,0,0,3.8,3.22,59.6,4.4,28.6,3072.0,0,30493.0
Sherwood Forest,1681.0,2,2.5,2419.0,1983,1.0,2.0,1,1,0,1,6.8,6.22,70.6,5.7,67.3,1149.0,0,140713.0
Midtown,1050.0,3,1.0,2830.0,1941,1.0,0.0,1,1,0,0,7.2,8.19,46.2,6.6,52.4,1861.0,0,158980.0
Corktown,2029.0,2,1.5,7349.0,1951,1.0,2.0,1,1,0,0,6.0,0.5,50.5,6.1,42.5,1656.0,0,316476.0
Boston-Edison,1160.0,3,1.5,3829.0,1975,1.0,1.0,1,1,0,0,4.7,5.29,48.6,7.8,72.9,2430.0,1,202325.0
West Village,678.0,4,1.5,4817.0,1946,2.0,1.0,1,0,0,0,3.4,0.73,62.1,6.6,44.6,2638.0,0,154000.0
Warrendale,2110.0,2,1.0,1200.0,1932,1.0,0.0,1,1,0,1,4.0,5.58,92.4,2.7,56.5,1638.0,1,12000.0
Jefferson-Chalmers,1690.0,4,1.0,4281.0,1927,1.0,1.0,0,0,0,0,3.5,8.04,45.8,4.2,70.9,1617.0,0,26711.0
West Village,1351.0,3,1.0,5406.0,1905,2.0,0.0,1,1,1,1,6.5,9.6,72.8,6.2,41.2,2918.0,0,188812.0
Sherwood Forest,2391.0,4,1.0,7517.0,1951,1.0,1.0,1,1,1,0,7.6,9.42,40.4,6.2,44.0,1607.0,0,241360.0
Chadsey-Condon,1434.0,3,1.5,7574.0,1942,1.0,2.0,1,1,1,0,2.6,9.08,84.5,2.7,59.7,2899.0,1,12000.0
Jefferson-Chalmers,1110.0,2,1.0,5077.0,1943,1.0,2.0,0,0,0,1,7.9,13.37,81.7,5.7,55.3,2451.0,1,29019.0
Brightmoor,871.0,2,2.0,4823.0,1999,1.5,1.0,0,0,0,0,4.9,10.32,89.9,3.1,48.3,2818.0,0,12000.0
Palmer Woods,531.0,3,2.0,4740.0,1935,1.5,2.0,1,1,0,0,6.9,10.59,54.1,7.2,56.5,1850.0,0,225351.0
Midtown,1405.0,3,1.0,3656.0,1963,1.0,2.0,0,0,0,1,,1.49,42.0,,,2187.0,0,229661.0
Indian Village,843.0,4,2.0,5172.0,1965,2.0,1.0,1,1,0,0,4.0,11.5,66.2,6.8,39.0,1267.0,0,200590.0
Chadsey-Condon,992.0,2,2.0,4646.0,1947,2.0,,1,1,0,0,,9.02,77.4,,,1605.0,0,12000.0
Bagley,1744.0,2,1.5,5038.0,1891,1.0,0.0,0,1,0,0,5.6,11.24,59.8,7.4,46.2,2789.0,0,108988.0
East English Village,1762.0,2,1.5,3118.0,1969,1.5,1.0,1,0,0,1,6.4,7.75,65.9,6.8,49.4,2257.0,1,49033.0
University District,1349.0,3,1.5,7060.0,1903,1.0,0.0,1,1,1,0,8.5,8.26,68.4,5.0,53.4,2193.0,0,178202.0
Corktown,1186.0,3,2.5,5269.0,1918,1.5,0.0,1,1,0,0,6.1,10.72,55.4,7.0,39.3,2863.0,0,239936.0
Chadsey-Condon,1249.0,2,1.0,5405.0,1986,2.0,1.0,1,1,0,1,3.3,5.46,91.2,1.0,26.0,2847.0,0,12000.0
Brightmoor,1881.0,3,2.0,5861.0,1939,1.0,0.0,1,1,0,1,3.4,11.94,100.0,5.7,35.7,2760.0,0,12000.0
East English Village,1794.0,2,2.0,6311.0,1911,1.0,2.0,1,1,0,1,4.7,16.95,37.4,3.1,36.0,1566.0,0,33137.0
Palmer Woods,1517.0,2,2.0,8134.0,1936,2.0,0.0,0,1,1,1,4.2,15.27,42.2,7.9,17.8,1426.0,0,364704.0
Palmer Woods,1478.0,1,1.0,4030.0,1984,1.5,1.0,1,1,0,1,6.0,3.24,37.2,6.8,58.9,1636.0,0,410161.0
Bagley,1353.0,4,2.0,4757.0,1918,2.0,1.0,1,1,0,1,5.0,6.91,64.8,4.7,49.1,1878.0,1,72010.0
Midtown,1769.0,4,1.5,2411.0,1962,2.5,1.0,1,1,0,1,5.8,14.24,71.1,5.5,20.6,1513.0,0,193392.0
Indian Village,1162.0,4,1.0,2741.0,1944,2.0,0.0,1,0,0,0,7.4,15.49,18.7,6.4,21.8,1245.0,0,297809.0
Brightmoor,989.0,2,1.5,5563.0,1949,1.0,0.0,0,0,0,0,6.9,9.5,82.9,2.4,44.2,2474.0,0,12000.0
Lafayette Park,480.0,3,1.0,3500.0,1959,2.0,1.0,1,1,0,0,5.0,11.23,58.1,7.4,51.2,2848.0,0,62088.0
Indian Village,1037.0,3,1.0,4342.0,1927,1.0,0.0,1,0,0,0,6.1,8.34,49.9,7.2,58.0,1600.0,0,226241.0
Bagley,1276.0,4,1.0,4981.0,1945,2.0,1.0,0,0,0,1,6.2,10.84,78.3,4.6,42.7,1320.0,0,66001.0
Midtown,1238.0,2,1.0,5083.0,1958,2.0,1.0,1,1,0,0,5.9,9.53,16.6,7.3,7.7,1262.0,0,149237.0
Corktown,1639.0,3,1.0,3723.0,1935,1.0,0.0,0,0,0,1,7.1,16.74,39.6,6.2,46.0,1503.0,0,227806.0
Corktown,549.0,4,1.5,4673.0,1937,2.0,0.0,1,1,0,0,4.0,16.35,58.7,5.8,18.2,1844.0,0,124064.0
Sherwood Forest,1188.0,4,1.5,3804.0,1955,2.0,1.0,1,1,1,0,4.8,22.28,92.9,5.9,40.7,1062.0,0,96292.0
Brightmoor,1006.0,5,2.0,5853.0,1945,1.0,1.0,1,0,1,0,2.3,7.8,56.7,3.6,49.0,2328.0,1,12000.0
Corktown,1581.0,4,2.0,5922.0,1955,1.5,1.0,1,1,1,0,6.6,4.37,42.6,6.2,38.9,757.0,0,372265.0
Cody Rouge,1075.0,1,2.5,3141.0,1970,2.0,1.0,1,0,1,1,3.0,6.21,69.4,4.9,66.7,1550.0,0,12000.0
Chadsey-Condon,1590.0,4,1.0,6727.0,1951,1.5,0.0,0,1,0,0,5.1,0.5,96.4,4.0,32.4,1007.0,1,12000.0
Morningside,998.0,3,1.5,7931.0,1949,2.0,0.0,1,1,1,0,5.5,7.24,87.2,5.1,47.4,2389.0,0,15157.0
Grandmont-Rosedale,971.0,3,1.0,7692.0,1949,1.0,2.0,1,1,1,1,4.5,7.78,64.5,6.3,41.8,2290.0,1,47951.0
Indian Village,1314.0,1,1.0,3845.0,1947,1.0,0.0,1,1,0,0,8.3,11.16,48.2,5.5,40.0,2718.0,0,280318.0
University District,1129.0,3,1.5,6188.0,1960,1.0,1.0,1,1,0,0,,9.95,37.1,6.6,67.4,1234.0,0,136607.0
Chadsey-Condon,1137.0,3,1.0,1324.0,1960,1.0,0.0,1,1,0,0,6.5,11.21,95.1,2.8,53.1,1424.0,1,12000.0
Boston-Edison,928.0,4,2.0,8919.0,1981,1.5,0.0,1,1,0,0,7.1,14.62,28.1,6.8,43.2,2911.0,0,267971.0
Cody Rouge,1116.0,2,1.5,5776.0,1948,1.5,0.0,1,0,0,0,3.7,6.39,56.2,3.0,49.7,2009.0,0,12000.0
Morningside,2173.0,3,2.5,7062.0,1920,2.0,,0,0,1,0,,11.08,41.0,,,2408.0,0,98040.0
Lafayette Park,2109.0,3,1.0,6451.0,1956,2.0,2.0,0,1,0,0,5.4,5.74,59.7,4.6,37.5,2194.0,0,199603.0
Jefferson-Chalmers,536.0,4,2.0,3353.0,1939,2.0,0.0,1,0,0,1,5.8,10.03,75.0,5.0,53.3,1656.0,0,12000.0
